unzoned,pareto,large,small,whole,struct_vol,strain_energy
1,0,0,0,0,5.3069E+06,6.1200E+02
0,1,1,1,0,5.1642E+06,3.6968E+02
0,0,1,1,1,5.4899E+06,4.3380E+02
0,0,1,0,0,5.2403E+06,4.1247E+02
0,0,1,0,0,4.6329E+06,4.2327E+02
0,0,1,0,0,4.9964E+06,4.0181E+02
0,1,1,0,0,4.7768E+06,3.9114E+02
0,0,1,0,0,5.4869E+06,4.2314E+02
0,0,1,0,0,5.4869E+06,4.2314E+02
0,0,1,0,0,4.6329E+06,4.2327E+02
0,0,1,0,0,4.9964E+06,4.0181E+02
0,1,1,0,0,4.7768E+06,3.9114E+02
0,0,1,0,0,5.2403E+06,4.1247E+02
0,0,1,0,0,5.2344E+06,4.0181E+02
0,1,1,0,0,5.0079E+06,3.9114E+02
0,1,1,0,0,4.6473E+06,4.1261E+02
0,1,1,0,0,5.0126E+06,3.9114E+02
0,1,1,0,0,4.3980E+06,4.1261E+02
0,0,1,0,0,5.4828E+06,4.1247E+02
0,1,1,0,0,4.6473E+06,4.1261E+02
0,1,1,0,0,5.0126E+06,3.9114E+02
0,0,1,0,0,5.2344E+06,4.0181E+02
