unzoned,pareto,large,small,whole,struct_vol,strain_energy
1,1,0,0,0,7.0538E+09,1.7307E+00
0,0,1,1,0,2.7486E+12,7.3122E+00
0,0,1,1,1,4.0838E+10,2.2298E+00
0,0,1,0,0,1.8686E+12,6.2660E+00
0,0,1,0,0,8.6346E+11,4.0028E+00
0,0,1,0,0,7.3389E+11,3.5132E+00
0,0,1,0,0,1.5813E+11,2.2250E+00
0,0,1,0,0,1.3576E+12,4.6960E+00
0,0,1,0,0,1.2384E+12,4.6375E+00
0,0,1,0,0,9.1046E+11,4.0344E+00
0,0,1,0,0,5.9826E+11,2.2993E+00
0,0,1,0,0,1.5519E+11,2.2297E+00
0,0,1,0,0,1.8469E+12,5.0854E+00
0,0,1,0,0,7.6805E+11,3.5448E+00
0,0,1,0,0,2.8913E+11,2.7241E+00
0,0,1,0,0,1.5560E+11,2.2297E+00
0,0,1,0,0,1.2934E+12,4.6691E+00
0,0,1,0,0,2.9152E+11,2.7193E+00
0,0,1,0,0,2.9150E+11,2.7193E+00
0,0,1,0,0,1.5520E+11,2.2297E+00
0,0,1,0,0,1.5524E+11,2.2297E+00
0,0,1,0,0,7.1401E+11,3.1982E+00
