unzoned,pareto,large,small,whole,struct_vol,strain_energy
1,0,0,0,0,2.7483E+12,3.1651E+00
0,0,1,1,1,5.1890E+12,1.0257E+01
0,0,1,1,0,1.9864E+12,6.6903E+00
0,0,1,1,0,2.5599E+12,3.4126E+00
0,0,1,0,0,2.2694E+12,4.7409E+00
0,0,1,0,0,1.6137E+12,3.9009E+00
0,0,1,0,0,2.1651E+12,4.9900E+00
0,0,1,0,0,1.4802E+12,4.1500E+00
0,0,1,0,0,2.5229E+12,4.6372E+00
0,0,1,0,0,1.7572E+12,3.7283E+00
0,0,1,0,0,9.9805E+11,5.1550E+00
0,1,1,0,0,3.1620E+11,4.2461E+00
0,1,1,1,0,8.3165E+11,2.4716E+00
0,0,1,1,0,3.5153E+12,4.3215E+00
0,0,1,1,1,2.6319E+12,3.4815E+00
