unzoned,pareto,large,small,whole,struct_vol,strain_energy
1,0,0,0,0,5.3069E+06,6.1200E+02
0,1,1,1,0,3.1617E+07,3.5280E+02
0,1,1,1,1,5.1642E+06,3.6968E+02
0,1,1,0,0,2.5636E+07,3.5834E+02
0,0,1,0,0,1.7329E+07,3.7467E+02
0,1,1,0,0,1.4018E+07,3.6941E+02
0,0,1,0,0,8.4462E+06,3.7494E+02
0,1,1,0,0,1.9808E+07,3.6387E+02
0,1,1,0,0,1.9808E+07,3.6387E+02
0,0,1,0,0,1.7329E+07,3.7467E+02
0,1,1,0,0,1.4018E+07,3.6941E+02
0,0,1,0,0,8.4462E+06,3.7494E+02
0,1,1,0,0,2.5636E+07,3.5834E+02
0,1,1,0,0,1.3968E+07,3.6941E+02
0,0,1,0,0,1.1731E+07,3.8021E+02
0,0,1,0,0,8.4237E+06,3.7494E+02
0,1,1,0,0,1.9732E+07,3.6387E+02
0,0,1,0,0,1.1733E+07,3.8021E+02
0,0,1,0,0,1.1731E+07,3.8021E+02
0,0,1,0,0,8.4237E+06,3.7494E+02
0,0,1,0,0,8.4403E+06,3.7494E+02
0,1,1,0,0,1.3968E+07,3.6941E+02
