unzoned,pareto,large,small,whole,struct_vol,strain_energy
1,0,0,0,0,2.0533E+08,1.1286E+03
0,1,1,1,1,1.0217E+09,7.3170E+02
0,0,1,1,0,1.8948E+09,7.8885E+02
0,0,1,1,0,2.1876E+08,1.0229E+03
0,1,1,0,0,7.0595E+08,8.5068E+02
0,0,1,0,0,1.3270E+09,8.5428E+02
0,1,1,0,0,9.4078E+07,9.4725E+02
0,0,1,0,0,6.5345E+08,9.6525E+02
0,1,1,0,0,7.0595E+08,8.5068E+02
0,0,1,0,0,1.3270E+09,8.5428E+02
0,1,1,0,0,9.4078E+07,9.4725E+02
0,0,1,0,0,6.5345E+08,9.6525E+02
0,0,1,1,0,7.0620E+08,8.5356E+02
0,1,1,1,0,9.2061E+07,9.4950E+02
0,0,1,1,1,1.1049E+08,9.9405E+02
