Time,Te,T_space_1,T_space_2,T_space_3,T_space_4,T_space_5,T_space_6,T_space_7,T_space_8,T_space_9,T_space_10,T_space_11,T_space_12,T_space_13,T_space_14,T_space_15,T_space_16,T_space_17,T_space_18,T_space_19,T_space_20,T_space_21,T_space_22,T_space_23,T_space_24,T_wall_1,T_wall_2,T_wall_3,T_wall_4,T_wall_5,T_wall_6,T_wall_7,T_wall_8,T_wall_9,T_wall_10,T_wall_11,T_wall_12,T_wall_13,T_wall_14,T_wall_15,T_wall_16,T_wall_17,T_wall_18,T_wall_19,T_wall_20,T_wall_21,T_wall_22,T_wall_23,T_wall_24,T_wall_25,T_wall_26,T_wall_27,T_wall_28,T_wall_29,T_wall_30,T_wall_31,T_wall_32,T_wall_33,T_wall_34,T_wall_35,T_wall_36,T_wall_37,T_wall_38,T_wall_39,T_wall_40,T_wall_41,T_wall_42,T_wall_43,T_wall_44,T_wall_45,T_wall_46,T_wall_47,T_wall_48,T_wall_49,T_wall_50,T_wall_51,T_wall_52,T_wall_53,T_wall_54,T_wall_55,T_wall_56,T_wall_57,T_wall_58,T_wall_59,T_wall_60,T_wall_61,T_wall_62,T_wall_63,T_wall_64,T_wall_65,T_wall_66,T_wall_67,T_wall_68,T_wall_69,T_wall_70,T_wall_71,T_wall_72,T_floor_1,T_floor_2,T_floor_3,T_floor_4,T_floor_5,T_floor_6,T_floor_7,T_floor_8,T_floor_9,T_floor_10,T_floor_11,T_floor_12,T_floor_13,T_floor_14,T_floor_15,T_floor_16,T_floor_17,T_floor_18,T_floor_19,T_floor_20,T_floor_21,T_floor_22,T_floor_23,T_floor_24,T_floor_25,T_floor_26,T_floor_27,T_floor_28,T_floor_29,T_floor_30,T_floor_31,T_floor_32
2014-Jul-01 01:00:00,7,19.5706,19.5706,19.5782,19.5782,19.611,19.615,19.615,19.611,19.5815,19.6132,19.6132,19.5815,19.5706,19.5706,19.5782,19.5782,19.611,19.615,19.615,19.611,19.5815,19.6132,19.6132,19.5815,19.4158,19.4158,19.4158,19.6876,19.4158,19.4158,19.4158,19.6876,19.4268,19.4268,19.4268,19.6964,19.4268,19.4268,19.4268,19.6964,19.4524,19.4524,19.7263,19.7244,19.4562,19.7282,19.7282,19.4562,19.7263,19.7282,19.4524,19.4524,19.7244,19.4305,19.4305,19.7132,19.6998,19.4546,19.7266,19.7266,19.4546,19.7132,19.7266,19.4305,19.4305,19.6998,19.4158,19.4158,19.4158,19.4158,19.4158,19.4158,19.4268,19.4268,19.4268,19.4268,19.4268,19.4268,19.4524,19.7263,19.4524,19.7282,19.4562,19.7263,19.4562,19.4524,19.4524,19.4305,19.7132,19.4305,19.7266,19.4546,19.7132,19.4546,19.4305,19.4305,19.6857,19.692,19.6857,19.692,19.7104,19.7104,19.7121,19.4562,19.7274,19.4562,19.7274,19.7121,19.4305,19.4546,19.4546,19.4305,19.6857,19.692,19.6857,19.692,19.7104,19.7104,19.7121,19.4562,19.7274,19.4562,19.7274,19.7121,19.4305,19.4546,19.4546,19.4305
2014-Jul-01 02:00:00,7.5,19.5751,19.5751,19.582,19.582,19.6147,19.6187,19.6187,19.6147,19.5853,19.617,19.617,19.5853,19.5751,19.5751,19.582,19.582,19.6147,19.6187,19.6187,19.6147,19.5853,19.617,19.617,19.5853,19.4022,19.4022,19.4022,19.6803,19.4022,19.4022,19.4022,19.6803,19.413,19.413,19.413,19.689,19.413,19.413,19.413,19.689,19.4388,19.4388,19.7193,19.7174,19.4426,19.7212,19.7212,19.4426,19.7193,19.7212,19.4388,19.4388,19.7174,19.4167,19.4167,19.706,19.6924,19.441,19.7195,19.7195,19.441,19.706,19.7195,19.4167,19.4167,19.6924,19.4022,19.4022,19.4022,19.4022,19.4022,19.4022,19.413,19.413,19.413,19.413,19.413,19.413,19.4388,19.7193,19.4388,19.7212,19.4426,19.7193,19.4426,19.4388,19.4388,19.4167,19.706,19.4167,19.7195,19.441,19.706,19.441,19.4167,19.4167,19.6818,19.6846,19.6818,19.6846,19.7032,19.7032,19.7049,19.4426,19.7204,19.4426,19.7204,19.7049,19.4167,19.441,19.441,19.4167,19.6818,19.6846,19.6818,19.6846,19.7032,19.7032,19.7049,19.4426,19.7204,19.4426,19.7204,19.7049,19.4167,19.441,19.441,19.4167
2014-Jul-01 03:00:00,7.4,19.563,19.563,19.5695,19.5695,19.6038,19.6078,19.6078,19.6038,19.5728,19.606,19.606,19.5728,19.563,19.563,19.5695,19.5695,19.6038,19.6078,19.6078,19.6038,19.5728,19.606,19.606,19.5728,19.3757,19.3757,19.3757,19.6661,19.3757,19.3757,19.3757,19.6661,19.3864,19.3864,19.3864,19.6746,19.3864,19.3864,19.3864,19.6746,19.4125,19.4125,19.7056,19.7037,19.4163,19.7076,19.7076,19.4163,19.7056,19.7076,19.4125,19.4125,19.7037,19.3901,19.3901,19.6919,19.678,19.4147,19.7059,19.7059,19.4147,19.6919,19.7059,19.3901,19.3901,19.678,19.3757,19.3757,19.3757,19.3757,19.3757,19.3757,19.3864,19.3864,19.3864,19.3864,19.3864,19.3864,19.4125,19.7056,19.4125,19.7076,19.4163,19.7056,19.4163,19.4125,19.4125,19.3901,19.6919,19.3901,19.7059,19.4147,19.6919,19.4147,19.3901,19.3901,19.6739,19.6704,19.6739,19.6704,19.6892,19.6892,19.6909,19.4163,19.7067,19.4163,19.7067,19.6909,19.3901,19.4147,19.4147,19.3901,19.6739,19.6704,19.6739,19.6704,19.6892,19.6892,19.6909,19.4163,19.7067,19.4163,19.7067,19.6909,19.3901,19.4147,19.4147,19.3901
2014-Jul-01 04:00:00,8.3,19.572,19.572,19.5769,19.5769,19.6109,19.615,19.615,19.6109,19.5802,19.6132,19.6132,19.5802,19.572,19.572,19.5769,19.5769,19.6109,19.615,19.615,19.6109,19.5802,19.6132,19.6132,19.5802,19.3517,19.3517,19.3517,19.6535,19.3517,19.3517,19.3517,19.6535,19.3621,19.3621,19.3621,19.6618,19.3621,19.3621,19.3621,19.6618,19.3886,19.3886,19.6936,19.6916,19.3924,19.6955,19.6955,19.3924,19.6936,19.6955,19.3886,19.3886,19.6916,19.3657,19.3657,19.6795,19.6652,19.3908,19.6938,19.6938,19.3908,19.6795,19.6938,19.3657,19.3657,19.6652,19.3517,19.3517,19.3517,19.3517,19.3517,19.3517,19.3621,19.3621,19.3621,19.3621,19.3621,19.3621,19.3886,19.6936,19.3886,19.6955,19.3924,19.6936,19.3924,19.3886,19.3886,19.3657,19.6795,19.3657,19.6938,19.3908,19.6795,19.3908,19.3657,19.3657,19.6664,19.6577,19.6664,19.6577,19.6767,19.6767,19.6784,19.3924,19.6946,19.3924,19.6946,19.6784,19.3657,19.3908,19.3908,19.3657,19.6664,19.6577,19.6664,19.6577,19.6767,19.6767,19.6784,19.3924,19.6946,19.3924,19.6946,19.6784,19.3657,19.3908,19.3908,19.3657
2014-Jul-01 05:00:00,10.7,19.6095,19.6095,19.6121,19.6121,19.6447,19.6489,19.6489,19.6447,19.6154,19.6471,19.6471,19.6154,19.6095,19.6095,19.6121,19.6121,19.6447,19.6489,19.6489,19.6447,19.6154,19.6471,19.6471,19.6154,19.3347,19.3347,19.3347,19.6452,19.3347,19.3347,19.3347,19.6452,19.3448,19.3448,19.3448,19.6531,19.3448,19.3448,19.3448,19.6531,19.3717,19.3717,19.6857,19.6837,19.3755,19.6876,19.6876,19.3755,19.6857,19.6876,19.3717,19.3717,19.6837,19.3484,19.3484,19.6712,19.6565,19.3739,19.6859,19.6859,19.3739,19.6712,19.6859,19.3484,19.3484,19.6565,19.3347,19.3347,19.3347,19.3347,19.3347,19.3347,19.3448,19.3448,19.3448,19.3448,19.3448,19.3448,19.3717,19.6857,19.3717,19.6876,19.3755,19.6857,19.3755,19.3717,19.3717,19.3484,19.6712,19.3484,19.6859,19.3739,19.6712,19.3739,19.3484,19.3484,19.6603,19.6491,19.6603,19.6491,19.6684,19.6684,19.6701,19.3755,19.6868,19.3755,19.6868,19.6701,19.3484,19.3739,19.3739,19.3484,19.6603,19.6491,19.6603,19.6491,19.6684,19.6684,19.6701,19.3755,19.6868,19.3755,19.6868,19.6701,19.3484,19.3739,19.3739,19.3484
2014-Jul-01 06:00:00,14.6,19.676,19.676,19.6762,19.6762,19.7068,19.711,19.711,19.7068,19.6796,19.7091,19.7091,19.6796,19.676,19.676,19.6762,19.6762,19.7068,19.711,19.711,19.7068,19.6796,19.7091,19.7091,19.6796,19.3301,19.3301,19.3301,19.644,19.3301,19.3301,19.3301,19.644,19.3399,19.3399,19.3399,19.6516,19.3399,19.3399,19.3399,19.6516,19.3672,19.3672,19.6848,19.6829,19.371,19.6868,19.6868,19.371,19.6848,19.6868,19.3672,19.3672,19.6829,19.3435,19.3435,19.67,19.6549,19.3694,19.6851,19.6851,19.3694,19.67,19.6851,19.3435,19.3435,19.6549,19.3301,19.3301,19.3301,19.3301,19.3301,19.3301,19.3399,19.3399,19.3399,19.3399,19.3399,19.3399,19.3672,19.6848,19.3672,19.6868,19.371,19.6848,19.371,19.3672,19.3672,19.3435,19.67,19.3435,19.6851,19.3694,19.67,19.3694,19.3435,19.3435,19.657,19.6478,19.657,19.6478,19.6672,19.6672,19.6689,19.371,19.6859,19.371,19.6859,19.6689,19.3435,19.3694,19.3694,19.3435,19.657,19.6478,19.657,19.6478,19.6672,19.6672,19.6689,19.371,19.6859,19.371,19.6859,19.6689,19.3435,19.3694,19.3694,19.3435
2014-Jul-01 07:00:00,15.8,19.6905,19.6905,19.6929,19.6929,19.7259,19.7302,19.7302,19.7259,19.6963,19.7283,19.7283,19.6963,19.6905,19.6905,19.6929,19.6929,19.7259,19.7302,19.7302,19.7259,19.6963,19.7283,19.7283,19.6963,19.3358,19.3358,19.3358,19.6481,19.3358,19.3358,19.3358,19.6481,19.3452,19.3452,19.3452,19.6552,19.3452,19.3452,19.3452,19.6552,19.3729,19.3729,19.689,19.6869,19.3767,19.691,19.691,19.3767,19.689,19.691,19.3729,19.3729,19.6869,19.3488,19.3488,19.6739,19.6586,19.3751,19.6892,19.6892,19.3751,19.6739,19.6892,19.3488,19.3488,19.6586,19.3358,19.3358,19.3358,19.3358,19.3358,19.3358,19.3452,19.3452,19.3452,19.3452,19.3452,19.3452,19.3729,19.689,19.3729,19.691,19.3767,19.689,19.3767,19.3729,19.3729,19.3488,19.6739,19.3488,19.6892,19.3751,19.6739,19.3751,19.3488,19.3488,19.656,19.6517,19.656,19.6517,19.6711,19.6711,19.6728,19.3767,19.6901,19.3767,19.6901,19.6728,19.3488,19.3751,19.3751,19.3488,19.656,19.6517,19.656,19.6517,19.6711,19.6711,19.6728,19.3767,19.6901,19.3767,19.6901,19.6728,19.3488,19.3751,19.3751,19.3488
2014-Jul-01 08:00:00,16.5,19.7036,19.7036,19.7068,19.7068,19.74,19.7444,19.7444,19.74,19.7102,19.7424,19.7424,19.7102,19.7036,19.7036,19.7068,19.7068,19.74,19.7444,19.7444,19.74,19.7102,19.7424,19.7424,19.7102,19.345,19.345,19.345,19.654,19.345,19.345,19.345,19.654,19.3542,19.3542,19.3542,19.6607,19.3542,19.3542,19.3542,19.6607,19.382,19.382,19.6948,19.6927,19.3859,19.6968,19.6968,19.3859,19.6948,19.6968,19.382,19.382,19.6927,19.3577,19.3577,19.6795,19.664,19.3842,19.695,19.695,19.3842,19.6795,19.695,19.3577,19.3577,19.664,19.345,19.345,19.345,19.345,19.345,19.345,19.3542,19.3542,19.3542,19.3542,19.3542,19.3542,19.382,19.6948,19.382,19.6968,19.3859,19.6948,19.3859,19.382,19.382,19.3577,19.6795,19.3577,19.695,19.3842,19.6795,19.3842,19.3577,19.3577,19.6561,19.6573,19.6561,19.6573,19.6767,19.6767,19.6784,19.3859,19.6959,19.3859,19.6959,19.6784,19.3577,19.3842,19.3842,19.3577,19.6561,19.6573,19.6561,19.6573,19.6767,19.6767,19.6784,19.3859,19.6959,19.3859,19.6959,19.6784,19.3577,19.3842,19.3842,19.3577
2014-Jul-01 09:00:00,16.5,19.7053,19.7053,19.7095,19.7095,19.7432,19.7476,19.7476,19.7432,19.7128,19.7456,19.7456,19.7128,19.7053,19.7053,19.7095,19.7095,19.7432,19.7476,19.7476,19.7432,19.7128,19.7456,19.7456,19.7128,19.3554,19.3554,19.3554,19.6603,19.3554,19.3554,19.3554,19.6603,19.3642,19.3642,19.3642,19.6666,19.3642,19.3642,19.3642,19.6666,19.3923,19.3923,19.7009,19.6989,19.3962,19.703,19.703,19.3962,19.7009,19.703,19.3923,19.3923,19.6989,19.3677,19.3677,19.6855,19.67,19.3945,19.7011,19.7011,19.3945,19.6855,19.7011,19.3677,19.3677,19.67,19.3554,19.3554,19.3554,19.3554,19.3554,19.3554,19.3642,19.3642,19.3642,19.3642,19.3642,19.3642,19.3923,19.7009,19.3923,19.703,19.3962,19.7009,19.3962,19.3923,19.3923,19.3677,19.6855,19.3677,19.7011,19.3945,19.6855,19.3945,19.3677,19.3677,19.6566,19.6634,19.6566,19.6634,19.6827,19.6827,19.6844,19.3962,19.7021,19.3962,19.7021,19.6844,19.3677,19.3945,19.3945,19.3677,19.6566,19.6634,19.6566,19.6634,19.6827,19.6827,19.6844,19.3962,19.7021,19.3962,19.7021,19.6844,19.3677,19.3945,19.3945,19.3677
2014-Jul-01 10:00:00,17.3,19.7245,19.7245,19.7282,19.7282,19.7606,19.7651,19.7651,19.7606,19.7315,19.763,19.763,19.7315,19.7245,19.7245,19.7282,19.7282,19.7606,19.7651,19.7651,19.7606,19.7315,19.763,19.763,19.7315,19.3667,19.3667,19.3667,19.6671,19.3667,19.3667,19.3667,19.6671,19.3753,19.3753,19.3753,19.6732,19.3753,19.3753,19.3753,19.6732,19.4036,19.4036,19.7077,19.7056,19.4075,19.7098,19.7098,19.4075,19.7077,19.7098,19.4036,19.4036,19.7056,19.3788,19.3788,19.6922,19.6765,19.4058,19.7079,19.7079,19.4058,19.6922,19.7079,19.3788,19.3788,19.6765,19.3667,19.3667,19.3667,19.3667,19.3667,19.3667,19.3753,19.3753,19.3753,19.3753,19.3753,19.3753,19.4036,19.7077,19.4036,19.7098,19.4075,19.7077,19.4075,19.4036,19.4036,19.3788,19.6922,19.3788,19.7079,19.4058,19.6922,19.4058,19.3788,19.3788,19.6576,19.6702,19.6576,19.6702,19.6894,19.6894,19.6911,19.4075,19.7088,19.4075,19.7088,19.6911,19.3788,19.4058,19.4058,19.3788,19.6576,19.6702,19.6576,19.6702,19.6894,19.6894,19.6911,19.4075,19.7088,19.4075,19.7088,19.6911,19.3788,19.4058,19.4058,19.3788
