Action,User input,Time,,,,
Create Zone,1,2,3,7,10,16:53:56
Create Zone,5,4,6,8,9,16:54:13
Create Zoned Design,1,2,16:54:40,,,
Add Space: size,20,20,20,16:56:46,,
Add Space: location,0,0,60,16:56:46,,
Resize Space: space,10,16:57:08,,,,
Resize Space: new size,60,30,15,16:57:08,,
Move Space: space,10,16:57:17,,,,
,above input invalid,16:57:17,,,,
Move Space: space,10,16:57:40,,,,
Move Space: new location,120,0,0,16:57:40,,
Move Space: space,10,16:58:12,,,,
Move Space: new location,240,0,0,16:58:12,,
Add Space: size,100,50,50,16:58:51,,
Add Space: location,150,30,30,16:58:51,,
Move Space: space,12,16:59:06,,,,
Move Space: new location,150,30,60,16:59:06,,
Delete Space,9,16:59:20,,,,
Delete Space,4,16:59:27,,,,
Action,User input,Time,,,,
Create Zone,1,2,3,7,10,17:03:59
Create Zone,6,5,8,9,17:04:15,
Create Zoned Design,1,2,17:04:22,,,
Delete Space,8,17:04:46,,,,
Delete Space,9,17:04:48,,,,
Delete Space,3,17:04:53,,,,
Resize Space: space,7,17:05:07,,,,
Resize Space: new size,120,60,30,17:05:07,,
Add Space: size,30,30,60,17:05:34,,
Add Space: location,120,0,30,17:05:34,,
Move Space: space,3,17:05:53,,,,
Move Space: new location,120,30,30,17:05:53,,
Move Space: space,3,17:06:27,,,,
Move Space: new location,150,60,30,17:06:27,,
Move Space: space,3,17:06:39,,,,
Move Space: new location,150,30,30,17:06:39,,
Create Zone 2,1,2,7,10,17:07:56,
Create Zone 2,4,5,6,17:08:11,,
Create Zone 2,3,17:08:17,,,,
Create Zoned Design 2,1,2,3,17:08:28,,
Create Zone 2,1,2,7,10,3,17:09:24
Create Zoned Design 2,2,4,17:09:34,,,
,,,,,,
,,,00:15:38,,,
