Question,User Answer,User Explanation,,,,,,,,,,,,,,,,,,
initial zones,10,,,,,,,,,,,,,,,,,,,
initial designs,5,,,,,,,,,,,,,,,,,,,
Zone count user:,9,,,,,,,,,,,,,,,,,,,
Zoned design count user:,3,,,,,,,,,,,,,,,,,,,
Zone 1 cuboids:,4,9,10,,,,,,,,,,,,,,,,,
Zone 2 cuboids:,5,6,7,8,9,10,15,16,17,,,,,,,,,,,
Zone 3 cuboids:,1,2,5,6,7,8,9,10,11,12,13,14,,,,,,,,
Zone 4 cuboids:,5,6,7,8,,,,,,,,,,,,,,,,
Zone 5 cuboids:,3,11,12,,,,,,,,,,,,,,,,,
Zone 6 cuboids:,1,2,11,12,13,14,,,,,,,,,,,,,,
Zone 7 cuboids:,4,,,,,,,,,,,,,,,,,,,
Zone 8 cuboids:,15,16,17,,,,,,,,,,,,,,,,,
Zone 9 cuboids:,1,2,13,14,,,,,,,,,,,,,,,,
Zone 10 cuboids:,3,,,,,,,,,,,,,,,,,,,
Zone 11 cuboids:,5,6,7,8,9,10,15,16,17,,,,11=2,,,,,,,
Zone 12 cuboids:,4,,,,,,,,,,,,12=7,,,,,,,
Zone 13 cuboids:,1,2,11,12,13,14,,,,,,,13=6,,,,,,,
Zone 14 cuboids:,3,,,,,,,,,,,,14=10,,,,,,,
Zone 15 cuboids:,3,11,12,,,,,,,,,,15=5,,,,,,,
Zone 16 cuboids:,1,2,13,14,,,,,,,,,16=9,,,,,,,
Zone 17 cuboids:,1,2,5,6,7,8,9,10,11,12,13,14,17=3,,,,,,,
Zone 18 cuboids:,3,,,,,,,,,,,,18=10,dubbel,,,,,,
Zone 19 cuboids:,15,16,17,,,,,,,,,,19=8,,,,,,,
Design 0 zones:,3,8,7,10, ,,,,,,,,,,,,,,,
Design 0 zones:,1,8,5,4,9, ,,,,,,,,,,,,,,
Design 0 zones:,1,8,6,4,10, ,,,,,,,,,,,,,,
Design 0 zones:,2,5,7,9, ,,,,,,,,,,,,,,,
Design 0 zones:,2,6,7,10, ,,,,,,,,,,,,,,,
Design 31 zones:,11,12,13,14, ,2,7,6,10,Design 5,1,,,,,,,,,
Design 32 zones:,11,12,15,16, ,2,7,5,9,Design 4,2,,,,,,,,,
Design 36 zones:,17,18,19,12, ,3,10,8,7,Design 1,3,,,,,,,,,
Step 2: Pick one zoned design you would like to continue with and explain why.,,3,,,,,,,,,,,,,,,,,,
Total compliance in the unzoned design:,29879116.03,,,,,,,,,,,,,,,,,,,
Structural volume in the unzoned design:,440.1,,,,,,,,,,,,,,,,,,,
Total compliance in zoned design 1:,308055501.2,,,,,,,,,,,,,,,,,,,
Structural volume in zoned design 1:,302.4,,,,,,,,,,,,,,,,,,,
Modification count:,2,,,,,,,,,,,,,,,,,,,
Added count:,1,,,,,,,,,,,,,,,,,,,
Deleted count:,0,,,,,,,,,,,,,,,,,,,
Moved count:,0,,,,,,,,,,,,,,,,,,,
Resized count:,1,,,,,,,,,,,,,,,,,,,
Space ID: 1,Size: ,6000,12000,3000,Location: ,0,0,0,,,,,,,,,,,,
Space ID: 2,Size: ,6000,12000,3000,Location: ,6000,0,0,,,,,,,,,,,,
Space ID: 3,Size: ,24000,12000,3000,Location: ,0,12000,0,,,,,,,,,,,,
Space ID: 4,Size: ,6000,6000,3000,Location: ,6000,0,3000,,,,,,,,,,,,
Space ID: 5,Size: ,6000,6000,3000,Location: ,6000,6000,3000,,,,,,,,,,,,
Space ID: 6,Size: ,6000,12000,3000,Location: ,0,0,3000,,,,,,,,,,,,
Space ID: 7,Size: ,12000,12000,3000,Location: ,12000,0,0,,,,,,,,,,,,
Space ID: 8,Size: ,12000,12000,3000,Location: ,12000,0,3000,,,,,,,,,,,,
Space ID: 9,Size: ,12000,12000,3000,Location: ,12000,12000,3000,,,,,,,,,,,,
Space ID: 10,Size: ,12000,6000,6000,Location: ,12000,-6000,0,,,,,,,,,,,,
Space ID: 11,Size: ,12000,12000,3000,Location: ,0,12000,3000,,,,,,,,,,,,
initial zones,2,,,,,,,,,,,,,,,,,,,
initial designs,1,,,,,,,,,,,,,,,,,,,
Zone count user:,5,,,,,,,,,,,,,,,,,,,
Zoned design count user:,2,,,,,,,,,,,,,,,,,,,
Zone 1 cuboids:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,20,,
Zone 2 cuboids:,17,18,,,,,,,,,,,,,,,,,,
Zone 3 cuboids:,3,14,15,16,19,20,,,,,,,,,,,,,,
Zone 4 cuboids:,17,18,,,,,,,,,,,,,,,,,,4=2
Zone 5 cuboids:,8,9,10,11,17,18,,,,,,,,,,,,,,
Zone 6 cuboids:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,20,,6=1
Zone 7 cuboids:,1,2,4,5,6,7,12,13,,,,,,,,,,,,
Design 0 zones:,1,2, ,,,,,,,,,,,,,,,,,
Design 5 zones:,4,6, ,,Desgin 1,,,,,,,,,,,,,,,
Design 7 zones:,3,5,7, ,,,,,,,,,,,,,,,,
1. How much did you enjoy performing this assignment?,3,,,,,,,,,,,,,,,,,,,
Step 3: This time pick the one of which you think its structural design has the highest stiffness. Explain your reasoning.,,3,,,,,,,,,,,,,,,,,,
Step 6: Pick one zoned design you would like to continue with and explain why.,,2,,,,,,,,,,,,,,,,,,
Step 7: This time pick the one of which you think its structural design has the highest stiffness. Explain your reasoning.,,2,,,,,,,,,,,,,,,,,,
1..,,I was confused 80 percent of the time and the rotation of the elements was very difficult and the screens keeps getting smaller without the possibility to zoom in,,,,,,,,,,,,,,,,,,
2. How would you rate the level of ease in performing this assignment?,4,,,,,,,,,,,,,,,,,,,
2..,,It was quite hard to decide which ones could be together.,,,,,,,,,,,,,,,,,,
3. How well do you think you performed the assignment?,2,,,,,,,,,,,,,,,,,,,
3..,,I have no idea if this was meant with the assignment. I tried my best but i have no clue if it was succesful ,,,,,,,,,,,,,,,,,,
4. Do you think it would have gone better with an AI tool that identifies all zoned designs for you?,Yes,,,,,,,,,,,,,,,,,,,
4..,,"Yes, I believe that AI is a lot better in doing such tasks.",,,,,,,,,,,,,,,,,,
5. Do you think the AI tool itself can perform zoning better than you?,Yes,,,,,,,,,,,,,,,,,,,
5..,,Yes ofcourse. I did not such a good job.,,,,,,,,,,,,,,,,,,
6. What criteria did you keep in mind while performing this assignment?,,Just making large zones which in total form the entire BSD. So more functional/ zoning requirements.,,,,,,,,,,,,,,,,,,
e-mail adress:,,,,,,,,,,,,,,,,,,,,
