Action,User input,Time
Starting time, assignment chosen,,16:50:19
Replace rod by beam,191,16:53:08
Replace rod by beam,179,16:53:17
Replace rod by beam,193,16:53:22
Replace rod by beam,180,16:53:44
Replace rod by beam,199,16:53:50
Replace rod by beam,185,16:53:54
Replace beam by rod,266,16:54:18
Replace rod by beam,198,16:54:30
Replace rod by beam,191,16:55:57
Replace rod by beam,156,16:56:02
Replace rod by beam,180,16:56:07
Replace rod by beam,195,16:56:16
Replace rod by beam,178,16:56:24
Replace rod by beam,143,16:56:28
Replace rod by beam,165,16:56:32
Replace rod by beam,143,16:56:37
Replace rod by beam,159,16:56:43
Replace rod by beam,204,16:56:46
Replace rod by beam,165,16:56:51
Replace rod by beam,162,16:56:59
Add diagonal: member 1,154,16:57:26
Add diagonal: member 2,256,16:57:26
Add diagonal: member 1,145,16:57:50
Add diagonal: member 2,264,16:57:50
Add diagonal: member 1,145,16:58:03
Add diagonal: member 2,264,16:58:03
Delete diagonal rod,269,16:58:10
Add diagonal: member 1,195,16:58:54
Add diagonal: member 2,144,16:58:54
Add diagonal: member 1,196,16:59:03
Add diagonal: member 2,166,16:59:03
Add diagonal: member 1,166,16:59:14
Add diagonal: member 2,169,16:59:14
Add diagonal: member 1,169,16:59:33
Add diagonal: member 2,167,16:59:33
Add diagonal: member 1,167,16:59:43
Add diagonal: member 2,258,16:59:43
