Question,User Answer,User Explanation,,,,,,,,,,
Total compliance in the unzoned design:,26774198.74,,,,,,,,,,,
Structural volume in the unzoned design:,396.9,,,,,,,,,,,
Total compliance in zoned design 1:,40246297.71,,,,,,,,,,,
Total compliance in zoned design 2:,45403851.64,,,,,,,,,,,
Total compliance in zoned design 3:,45441614.75,,,,,,,,,,,
Total compliance in zoned design 4:,59723551.63,,,,,,,,,,,
Total compliance in zoned design 5:,60077259.86,,,,,,,,,,,
Structural volume in zoned design 1:,329.4,,,,,,,,,,,
Structural volume in zoned design 2:,372.6,,,,,,,,,,,
Structural volume in zoned design 3:,372.6,,,,,,,,,,,
Structural volume in zoned design 4:,361.8,,,,,,,,,,,
Structural volume in zoned design 5:,361.8,,,,,,,,,,,
Step 2: Pick one zoned design you would like to continue with and explain why.,,4,,,,,,,,,,
Total compliance in the unzoned design:,32676569.02,,,,,,,,,,,
Structural volume in the unzoned design:,480.6,,,,,,,,,,,
Total compliance in zoned design 1:,37679761.19,,,,,,,,,,,
Total compliance in zoned design 2:,51534944.35,,,,,,,,,,,
Total compliance in zoned design 3:,32893691.07,,,,,,,,,,,
Structural volume in zoned design 1:,456.3,,,,,,,,,,,
Structural volume in zoned design 2:,445.5,,,,,,,,,,,
Structural volume in zoned design 3:,413.1,,,,,,,,,,,
Structural volume for design with minimal volume (3):,413.1,,,,,,,,,,,
Structural volume for design with maximal volume (1):,456.3,,,,,,,,,,,
Total compliance for design with minimal volume (3):,32893691.07,,,,,,,,,,,
Total compliance for design with maximal volume (1):,37679761.19,,,,,,,,,,,
Step 3: This time pick the one of which you think its structural design has the highest stiffness. Explain your reasoning.,,1,,,,,,,,,,
Step 4: Pick one to continue with. Structural volume and compliance are given. Explain your reasoning.,,1,,,,,,,,,,
Step 6: Pick one to continue with out of the two most diverse zoned designs. Explain your reasoning.,,1,,,,,,,,,,
Step 7: This time pick again out of all zoned designs. Explain your reasoning.,,1,,,,,,,,,,
Step 8: Pick one to continue with based on expected SD performance. Explain your reasoning.,,1,,,,,,,,,,
Modification count:,3,,,,,,,,,,,
Added count:,2,,,,,,,,,,,
Deleted count:,0,,,,,,,,,,,
Moved count:,0,,,,,,,,,,,
Resized count:,1,,,,,,,,,,,
Space ID: 1,Size: ,6000,12000,3000,Location: ,0,0,0,,,,
Space ID: 2,Size: ,6000,12000,3000,Location: ,6000,0,0,,,,
Space ID: 3,Size: ,24000,12000,3000,Location: ,0,12000,0,,,,
Space ID: 4,Size: ,6000,6000,3000,Location: ,6000,0,3000,,,,
Space ID: 5,Size: ,6000,6000,3000,Location: ,6000,6000,3000,,,,
Space ID: 6,Size: ,6000,12000,3000,Location: ,0,0,3000,,,,
Space ID: 7,Size: ,12000,12000,3000,Location: ,12000,0,0,,,,
Space ID: 8,Size: ,12000,12000,3000,Location: ,12000,0,3000,,,,
Space ID: 10,Size: ,12000,6000,3000,Location: ,12000,-6000,0,,,,
Space ID: 9,Size: ,18000,12000,3000,Location: ,12000,12000,3000,,,,
Space ID: 11,Size: ,6000,6000,3000,Location: ,6000,0,6000,,,,
Space ID: 12,Size: ,12000,6000,6000,Location: ,12000,0,6000,,,,
Zone 1 cuboids:,4,,,,,,,,,,,
Zone 2 cuboids:,18,19,,,,,,,,,,
Zone 3 cuboids:,3,9,10,,,,,,,,,
Zone 4 cuboids:,5,6,7,8,9,10,15,16,17,,,
Zone 5 cuboids:,1,2,5,6,7,8,9,10,11,12,13,14
Zone 6 cuboids:,20,21,,,,,,,,,,
Zone 7 cuboids:,5,6,7,8,,,,,,,,
Zone 8 cuboids:,1,2,11,12,13,14,,,,,,
Zone 9 cuboids:,3,,,,,,,,,,,
Zone 10 cuboids:,15,16,17,,,,,,,,,
Design 0 zones:,2,1,3,7,10,6,8, ,,,,
Design 0 zones:,2,1,4,6,8,9, ,,,,,
Design 0 zones:,2,1,10,6,5,9, ,,,,,
1. How much did you enjoy performing this assignment?,5,,,,,,,,,,,
1..,,Nice interaction between a computer (AI) and me as user. Certainly for prototyping I could see a great benefit in the program. The compliance score and structural weight are very valuable in that regard. ,,,,,,,,,,
2. How would you rate the level of ease in performing this assignment?,4,,,,,,,,,,,
2. How would you rate the level of ease in performing this assignment?,3,,,,,,,,,,,
2..,,The assignment said _pick one_ without indicating what to base your choice upon. That might have been done deliberately but it made _picking one_ a bit harder.,,,,,,,,,,
3. How well do you think you performed the assignment?,4,,,,,,,,,,,
3. How well do you think you performed the assignment?,3,,,,,,,,,,,
3..,,,,,,,,,,,,
4. Do you think it would have gone better without the AI tool?,No,,,,,,,,,,,
4..,,,,,,,,,,,,
5. Do you think the AI tool itself can perform zoning better than you?,No idea,,,,,,,,,,,
5. Do you think the AI tool itself can perform zoning better than you?,Yes,,,,,,,,,,,
5..,,An AI is (most likely) way quicker and more complete in finding all possible zoning variants.,,,,,,,,,,
6. What criteria did you keep in mind while performing this assignment?,,Structural.,,,,,,,,,,
7.  Did you prefer choosing from the limited zoned design options or from all zoned design options?,All options,,,,,,,,,,,
7..,,"I mostly liked all options,  and then with the structural mass and indication for stiffness (compliance) so it gives you all the options and you can pick yourself. But I can imagine this becomes hard for larger more complicate structures with many options.",,,,,,,,,,
Total compliance in the unzoned design:,32676569.02,,,,,,,,,,,
Structural volume in the unzoned design:,480.6,,,,,,,,,,,
Total compliance in zoned design 1:,37679761.19,,,,,,,,,,,
Total compliance in zoned design 2:,51534944.35,,,,,,,,,,,
Total compliance in zoned design 3:,32893691.07,,,,,,,,,,,
Structural volume in zoned design 1:,456.3,,,,,,,,,,,
Structural volume in zoned design 2:,445.5,,,,,,,,,,,
Structural volume in zoned design 3:,413.1,,,,,,,,,,,
Structural volume for design with minimal volume (3):,413.1,,,,,,,,,,,
