Action,User input,Time,,,,,,
Create Zone,10,7,3,1,2,16:07:46,,
Create Zone,9,8,16:08:33,,,,,
Create Zone,5,4,6,16:09:21,,,,
Create Zoned Design,1,2,3,16:10:37,,,,
Delete Zone,1,16:11:03,,,,,,
Create Zone,10,7,16:11:39,,,,,
Create Zone,1,2,16:11:49,,,,,
Create Zone,3,16:11:58,,,,,,
Create Zoned Design,1,2,3,4,5,6,16:12:09,
Create Zoned Design,2,3,4,5,6,16:12:22,,
Action,User input,Time,,,,,,
Create Zone,10,7,16:16:46,,,,,
Create Zone,3,16:16:52,,,,,,
Create Zone,1,2,4,5,6,16:17:28,,
Create Zone,8,9,16:17:40,,,,,
Create Zoned Design,1,2,3,4,16:17:54,,,
Create Zone,1,2,4,5,6,7,8,16:18:35
Create Zone,10,16:18:54,,,,,,
Create Zone,9,16:19:06,,,,,,
Create Zone,3,16:19:09,,,,,,
Create Zoned Design,5,6,7,8,16:19:25,,,
Create Zone,3,1,2,7,16:20:07,,,
Create Zoned Design,4,3,6,9,16:21:07,,,
Delete Space,10,16:27:38,,,,,,
Add Space: size,120,120,30,16:29:45,,,,
Add Space: location,0,120,30,16:29:45,,,,
Delete Space,3,16:30:16,,,,,,
Add Space: size,240,60,30,16:31:34,,,,
Add Space: location,0,120,0,16:31:34,,,,
Delete Space,8,16:31:50,,,,,,
Delete Space,7,16:32:16,,,,,,
Add Space: size,60,120,60,16:33:02,,,,
Add Space: location,120,0,30,16:33:02,,,,
Add Space: size,120,120,30,16:33:56,,,,
Add Space: location,0,0,60,16:33:56,,,,
Resize Space: space,8,16:34:59,,,,,,
Resize Space: new size,120,180,30,16:34:59,,,,
Add Space: size,120,60,30,16:35:38,,,,
Add Space: location,120,120,60,16:35:38,,,,
Create Zone 2,4,5,1,2,6,16:39:48,,
Delete Zone 2,7,16:39:52,,,,,,
Create Zone 2,7,16:39:59,,,,,,
Create Zone 2,9,10,16:40:12,,,,,
Create Zone 2,8,16:40:32,,,,,,
Create Zone 2,11,16:40:42,,,,,,
Create Zone 2,3,16:40:57,,,,,,
Create Zoned Design 2,1,2,3,4,5,6,16:41:32,
Create Zone 2,10,4,5,16:42:37,,,,
Delete Zone 2,7,16:42:54,,,,,,
Create Zone 2,10,4,5,6,16:43:00,,,
Create Zone 2,1,2,16:43:27,,,,,
Create Zoned Design 2,2,3,4,5,6,7,8,16:43:56
