Action,User input,Time,
Starting time, assignment chosen,,18:13:12
Add diagonal: member 1,144,18:14:13,
Add diagonal: member 2,220,18:14:13,
Add diagonal: member 1,144,18:14:25,
Add diagonal: member 2,187,18:14:25,
Add diagonal: member 1,220,18:14:44,
Add diagonal: member 2,161,18:14:44,
Action,User input,Time,
Starting time, assignment chosen,,18:14:52
Add diagonal: member 1,144,18:15:08,
Add diagonal: member 2,220,18:15:08,
Add diagonal: member 1,144,18:15:20,
Add diagonal: member 2,187,18:15:20,
Add diagonal: member 1,220,18:15:48,
Add diagonal: member 2,235,18:15:48,
Replace rod by beam,269,18:15:54,
Replace beam by rod,269,18:16:03,
Add diagonal: member 1,170,18:16:14,
Add diagonal: member 2,169,18:16:14,
Add diagonal: member 1,169,18:16:42,
Add diagonal: member 2,178,18:16:42,
Add diagonal: member 1,177,18:16:53,
Add diagonal: member 2,178,18:16:53,
Add diagonal: member 1,220,18:17:11,
Add diagonal: member 2,235,18:17:11,
Add diagonal: member 1,177,18:17:42,
Add diagonal: member 2,168,18:17:42,
Add diagonal: member 1,168,18:17:55,
Add diagonal: member 2,167,18:17:55,
Add diagonal: member 1,145,18:18:21,
Add diagonal: member 2,178,18:18:21,
Add diagonal: member 1,145,18:18:42,
Add diagonal: member 2,187,18:18:42,
Add diagonal: member 1,145,18:19:18,
Add diagonal: member 2,156,18:19:18,
Add diagonal: member 1,235,18:19:25,
Add diagonal: member 2,145,18:19:25,
Add diagonal: member 1,177,18:19:39,
Add diagonal: member 2,183,18:19:39,
Add diagonal: member 1,183,18:20:03,
Add diagonal: member 2,203,18:20:03,
Add diagonal: member 1,203,18:20:19,
Add diagonal: member 2,181,18:20:19,
Add diagonal: member 1,156,18:20:28,
Add diagonal: member 2,195,18:20:28,
Add diagonal: member 1,195,18:20:37,
Add diagonal: member 2,179,18:20:37,
Add diagonal: member 1,179,18:20:45,
Add diagonal: member 2,144,18:20:45,
Add diagonal: member 1,181,18:20:54,
Add diagonal: member 2,167,18:20:54,
Add diagonal: member 1,167,18:21:01,
Add diagonal: member 2,170,18:21:01,
Add diagonal: member 1,253,18:21:35,
Add diagonal: member 2,1157,18:21:35,
,above input invalid,18:21:35,
Add diagonal: member 1,253,18:21:42,
Add diagonal: member 2,157,18:21:42,
Add diagonal: member 1,258,18:21:53,
Add diagonal: member 2,253,18:21:53,
Add diagonal: member 1,147,18:22:04,
Add diagonal: member 2,213,18:22:04,
Add diagonal: member 1,158,18:22:11,
Add diagonal: member 2,258,18:22:11,
Add diagonal: member 1,234,18:22:41,
Add diagonal: member 2,259,18:22:41,
Add diagonal: member 1,278,18:22:51,
Add diagonal: member 2,254,18:22:51,
Add diagonal: member 1,278,18:23:10,
Add diagonal: member 2,254,18:23:10,
Add diagonal: member 1,263,18:23:34,
Add diagonal: member 2,293,18:23:34,
Add diagonal: member 1,293,18:23:45,
Add diagonal: member 2,254,18:23:45,
Action,User input,Time,
Starting time, assignment chosen,,18:24:00
Add diagonal: member 1,146,18:24:26,
Add diagonal: member 2,155,18:24:26,
Action,User input,Time,
Starting time, assignment chosen,,18:24:32
AI suggestion: truss,267,18:24:53,
AI suggestion,Accept,18:24:55,
Add diagonal: member 1,181,18:25:37,
Add diagonal: member 2,167,18:25:37,
Add diagonal: member 1,144,18:25:43,
Add diagonal: member 2,220,18:25:43,
Add diagonal: member 1,167,18:25:47,
Add diagonal: member 2,170,18:25:47,
Add diagonal: member 1,170,18:25:59,
Add diagonal: member 2,169,18:25:59,
Add diagonal: member 1,169,18:26:07,
Add diagonal: member 2,178,18:26:07,
Add diagonal: member 1,220,18:26:23,
Add diagonal: member 2,235,18:26:23,
Add diagonal: member 1,178,18:26:34,
Add diagonal: member 2,177,18:26:34,
Add diagonal: member 1,235,18:26:40,
Add diagonal: member 2,145,18:26:40,
Add diagonal: member 1,177,18:27:04,
Add diagonal: member 2,183,18:27:04,
Add diagonal: member 1,145,18:27:09,
Add diagonal: member 2,156,18:27:09,
Add diagonal: member 1,183,18:27:17,
Add diagonal: member 2,203,18:27:17,
Add diagonal: member 1,156,18:27:23,
Add diagonal: member 2,195,18:27:23,
Add diagonal: member 1,203,18:27:36,
Add diagonal: member 2,181,18:27:36,
Add diagonal: member 1,195,18:27:43,
Add diagonal: member 2,179,18:27:43,
Add diagonal: member 1,224,18:28:24,
Add diagonal: member 2,234,18:28:24,
Add diagonal: member 1,267,18:28:33,
Add diagonal: member 2,251,18:28:33,
Add diagonal: member 1,263,18:28:43,
Add diagonal: member 2,251,18:28:43,
Add diagonal: member 1,251,18:28:56,
Add diagonal: member 2,154,18:28:56,
Add diagonal: member 1,258,18:29:03,
Add diagonal: member 2,253,18:29:03,
Add diagonal: member 1,157,18:29:13,
Add diagonal: member 2,253,18:29:13,
Add diagonal: member 1,157,18:29:28,
Add diagonal: member 2,156,18:29:28,
Add diagonal: member 1,220,18:29:40,
Add diagonal: member 2,147,18:29:40,
Add diagonal: member 1,216,18:29:49,
Add diagonal: member 2,224,18:29:49,
Add diagonal: member 1,147,18:29:59,
Add diagonal: member 2,213,18:29:59,
Add diagonal: member 1,146,18:30:04,
Add diagonal: member 2,213,18:30:04,
Add diagonal: member 1,159,18:30:38,
Add diagonal: member 2,161,18:30:38,
Add diagonal: member 1,173,18:30:54,
Add diagonal: member 2,171,18:30:54,00:06:22
