Question,User Answer,User Explanation,,,,,,,,,,,,,,,,
initial zones,10,,,,,,,,,,,,,,,,,
initial designs,5,,,,,,,,,,,,,,,,,
Zone count user:,2,,,,,,,,,,,,,,,,,
Zoned design count user:,0,,,,,,,,,,,,,,,,,
Zone 1 cuboids:,4,9,10,,,,,,,,,,,,,,,
Zone 2 cuboids:,5,6,7,8,9,10,15,16,17,,,,,,,,,
Zone 3 cuboids:,1,2,5,6,7,8,9,10,11,12,13,14,,,,,,
Zone 4 cuboids:,5,6,7,8,,,,,,,,,,,,,,
Zone 5 cuboids:,3,11,12,,,,,,,,,,,,,,,
Zone 6 cuboids:,1,2,11,12,13,14,,,,,,,,,,,,
Zone 7 cuboids:,4,,,,,,,,,,,,,,,,,
Zone 8 cuboids:,15,16,17,,,,,,,,,,,,,,,
Zone 9 cuboids:,1,2,13,14,,,,,,,,,,,,,,
Zone 10 cuboids:,3,,,,,,,,,,,,,,,,,
Zone 11 cuboids:,15,16,17,,,,,,,,,,,,,,,
Zone 12 cuboids:,5,6,,,,,,,,,,,,,,,,
Design 0 zones:,3,8,7,10, ,,,,,,,,,,,,,
Design 0 zones:,1,8,5,4,9, ,,,,,,,,,,,,
Design 0 zones:,1,8,4,6,10, ,,,,,,,,,,,,
Design 0 zones:,2,5,7,9, ,,,,,,,,,,,,,
Design 0 zones:,2,6,7,10, ,,,,,,,,,,,,,
Step 2: Pick one zoned design you would like to continue with and explain why.,,1,,,,,,,,,,,,,,,,
Question,User Answer,User Explanation,,,,,,,,,,,,,,,,
initial zones,10,,,,,,,,,,,,,,,,,
initial designs,5,,,,,,,,,,,,,,,,,
Zone count user:,1,,,,,,,,,,,,,,,,,
Zoned design count user:,1,,,,,,,,,,,,,,,,,
Zone 1 cuboids:,4,9,10,,,,,,,,,,,,,,,
Zone 2 cuboids:,5,6,7,8,9,10,15,16,17,,,,,,,,,
Zone 3 cuboids:,1,2,5,6,7,8,9,10,11,12,13,14,,,,,,
Zone 4 cuboids:,5,6,7,8,,,,,,,,,,,,,,
Zone 5 cuboids:,3,11,12,,,,,,,,,,,,,,,
Zone 6 cuboids:,1,2,11,12,13,14,,,,,,,,,,,,
Zone 7 cuboids:,4,,,,,,,,,,,,,,,,,
Zone 8 cuboids:,15,16,17,,,,,,,,,,,,,,,
Zone 9 cuboids:,1,2,13,14,,,,,,,,,,,,,,
Zone 10 cuboids:,3,,,,,,,,,,,,,,,,,
Zone 11 cuboids:,15,16,17,,,,,,,,,,,,,,,
Design 0 zones:,3,8,7,10, ,,,,,,,,,,,,,
Design 0 zones:,1,8,4,5,9, ,,,,,,,,,,,,
Design 0 zones:,1,8,4,6,10, ,,,,,,,,,,,,
Design 0 zones:,2,5,7,9, ,,,,,,,,,,,,,
Design 0 zones:,2,6,7,10, ,,,,,,,,,,,,,
Design 6 zones:,11, ,,,,,,,,,,,,,,,,
Step 2: Pick one zoned design you would like to continue with and explain why.,,1,,,,,,,,,,,,,,,,
Total compliance in the unzoned design:,27420572.59,,,,,,,,,,,,,,,,,
Structural volume in the unzoned design:,450.9,,,,,,,,,,,,,,,,,
Total compliance in zoned design 1:,45108818.07,,,,,,,,,,,,,,,,,
Total compliance in zoned design 2:,309706063.1,,,,,,,,,,,,,,,,,
Structural volume in zoned design 1:,324,,,,,,,,,,,,,,,,,
Structural volume in zoned design 2:,302.4,,,,,,,,,,,,,,,,,
Modification count:,2,,,,,,,,,,,,,,,,,
Added count:,2,,,,,,,,,,,,,,,,,
Deleted count:,0,,,,,,,,,,,,,,,,,
Moved count:,0,,,,,,,,,,,,,,,,,
Resized count:,0,,,,,,,,,,,,,,,,,
Space ID: 1,Size: ,6000,12000,3000,Location: ,0,0,0,,,,,,,,,,
Space ID: 2,Size: ,6000,12000,3000,Location: ,6000,0,0,,,,,,,,,,
Space ID: 3,Size: ,24000,12000,3000,Location: ,0,12000,0,,,,,,,,,,
Space ID: 4,Size: ,6000,6000,3000,Location: ,6000,0,3000,,,,,,,,,,
Space ID: 5,Size: ,6000,6000,3000,Location: ,6000,6000,3000,,,,,,,,,,
Space ID: 6,Size: ,6000,12000,3000,Location: ,0,0,3000,,,,,,,,,,
Space ID: 7,Size: ,12000,12000,3000,Location: ,12000,0,0,,,,,,,,,,
Space ID: 8,Size: ,12000,12000,3000,Location: ,12000,0,3000,,,,,,,,,,
Space ID: 9,Size: ,12000,12000,3000,Location: ,12000,12000,3000,,,,,,,,,,
Space ID: 10,Size: ,12000,6000,3000,Location: ,12000,-6000,0,,,,,,,,,,
Space ID: 11,Size: ,24000,12000,3000,Location: ,0,12000,3000,,,,,,,,,,
Space ID: 12,Size: ,12000,6000,3000,Location: ,12000,-6000,3000,,,,,,,,,,
initial zones,5,,,,,,,,,,,,,,,,,
initial designs,2,,,,,,,,,,,,,,,,,
Zone count user:,1,,,,,,,,,,,,,,,,,
Zoned design count user:,0,,,,,,,,,,,,,,,,,
Zone 1 cuboids:,4,5,10,11,12,13,,,,,,,,,,,,
Zone 2 cuboids:,1,2,3,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Zone 3 cuboids:,3,16,17,18,19,20,,,,,,,,,,,,
Zone 4 cuboids:,1,2,6,7,8,9,14,15,,,,,,,,,,
Zone 5 cuboids:,4,5,,,,,,,,,,,,,,,,
Zone 6 cuboids:,16,18,19,,,,,,,,,,,,,,,
Design 0 zones:,1,4,3, ,,,,,,,,,,,,,,
Design 0 zones:,2,5, ,,,,,,,,,,,,,,,
1. How much did you enjoy performing this assignment?,3,,,,,,,,,,,,,,,,,
Step 3: This time pick the one of which you think its structural design has the highest stiffness. Explain your reasoning.,,1,,,,,,,,,,,,,,,,
Step 6: Pick one zoned design you would like to continue with and explain why.,,3,,,,,,,,,,,,,,,,
Step 7: This time pick the one of which you think its structural design has the highest stiffness. Explain your reasoning.,,3,,,,,,,,,,,,,,,,
1..,,I have no idea of what I'm doing,,,,,,,,,,,,,,,,
2. How would you rate the level of ease in performing this assignment?,3,,,,,,,,,,,,,,,,,
2..,,Same as question 1,,,,,,,,,,,,,,,,
3. How well do you think you performed the assignment?,3,,,,,,,,,,,,,,,,,
3. How well do you think you performed the assignment?,1,,,,,,,,,,,,,,,,,
3..,,I literally have no idea of what I'm doing,,,,,,,,,,,,,,,,
4. Do you think it would have gone better with an AI tool that identifies all zoned designs for you?,No idea,,,,,,,,,,,,,,,,,
4. Do you think it would have gone better with an AI tool that identifies all zoned designs for you?,Yes,,,,,,,,,,,,,,,,,
4. Do you think it would have gone better with an AI tool that identifies all zoned designs for you?,No idea,,,,,,,,,,,,,,,,,
4..,,Maybe, I've seen AI perform zone optimization with floorplan,,,,,,,,,,,,,,,
5. Do you think the AI tool itself can perform zoning better than you?,Yes,,,,,,,,,,,,,,,,,
5..,,Yes! AI will because it can come up with so many different designs with such short period of time,,,,,,,,,,,,,,,,
6. What criteria did you keep in mind while performing this assignment?,,Size of each zone. I tried to keep each zone to similar sizes,,,,,,,,,,,,,,,,
e-mail adress:,,,,,,,,,,,,,,,,,,
