Question,User Answer,User Explanation,,,,,,,,,,,,,
initial zones,10,,,,,,,,,,,,,,
initial designs,5,,,,,,,,,,,,,,
Zone count user:,12,,,,,,,,,,,,,,
Zoned design count user:,3,,,,,,,,,,,,,,
Zone 1 cuboids:,4,9,10,,,,,,,,,,,,
Zone 2 cuboids:,5,6,7,8,9,10,15,16,17,,,,,,
Zone 3 cuboids:,1,2,5,6,7,8,9,10,11,12,13,14,,,
Zone 4 cuboids:,5,6,7,8,,,,,,,,,,,
Zone 5 cuboids:,3,11,12,,,,,,,,,,,,
Zone 6 cuboids:,1,2,11,12,13,14,,,,,,,,,
Zone 7 cuboids:,4,,,,,,,,,,,,,,
Zone 8 cuboids:,15,16,17,,,,,,,,,,,,
Zone 9 cuboids:,1,2,13,14,,,,,,,,,,,
Zone 10 cuboids:,3,,,,,,,,,,,,,,
Zone 11 cuboids:,3,11,12,,,,,,,,,,11=5,,
Zone 12 cuboids:,1,2,13,14,,,,,,,,,12=9,,
Zone 13 cuboids:,1,2,11,12,13,14,,,,,,,13=6,,
Zone 15 cuboids:,4,9,10,,,,,,,,,,15=1,,
Zone 16 cuboids:,15,16,17,,,,,,,,,,16=8,,
Zone 17 cuboids:,4,,,,,,,,,,,,17=7,,
Zone 18 cuboids:,5,6,7,8,,,,,,,,,18=4,,
Zone 19 cuboids:,5,6,7,8,9,10,15,16,17,,,,19=2,,
Zone 20 cuboids:,1,2,5,6,7,8,13,14,,,,,,,
Zone 21 cuboids:,9,10,11,12,,,,,,,,,,,
Zone 22 cuboids:,1,2,5,6,7,8,9,10,11,12,13,14,22=3,,
Zone 23 cuboids:,3,,,,,,,,,,,,23=10,,
Design 0 zones:,3,8,7,10, ,,,,,,,,,,
Design 0 zones:,1,5,8,4,9, ,,,,,,,,,
Design 0 zones:,1,6,8,4,10, ,,,,,,,,,
Design 0 zones:,2,5,7,9, ,,,,,,,,,,
Design 0 zones:,2,6,7,10, ,,,,,,,,,,
Design 14 zones:,17,19,11,12, ,,7,2,5,9,,Design 4,,,
Design 24 zones:,19,17,13,23, ,,2,7,6,10,,Design 5,,,
Design 26 zones:,22,23,17,16, ,,3,10,7,8,,Design 1,,,
Step 2: Pick one zoned design you would like to continue with and explain why.,,1,,,,,,,,,,,,,
Total compliance in the unzoned design:,39101665.26,,,,,,,,,,,,,,
Structural volume in the unzoned design:,467.1,,,,,,,,,,,,,,
Total compliance in zoned design 1:,41592186.21,,,,,,,,,,,,,,
Total compliance in zoned design 2:,46692055.24,,,,,,,,,,,,,,
Total compliance in zoned design 3:,46823950.03,,,,,,,,,,,,,,
Total compliance in zoned design 4:,61366491.3,,,,,,,,,,,,,,
Total compliance in zoned design 5:,61465010.18,,,,,,,,,,,,,,
Total compliance in zoned design 6:,40161002.07,,,,,,,,,,,,,,
Structural volume in zoned design 1:,399.6,,,,,,,,,,,,,,
Structural volume in zoned design 2:,442.8,,,,,,,,,,,,,,
Structural volume in zoned design 3:,442.8,,,,,,,,,,,,,,
Structural volume in zoned design 4:,432,,,,,,,,,,,,,,
Structural volume in zoned design 5:,432,,,,,,,,,,,,,,
Structural volume in zoned design 6:,410.4,,,,,,,,,,,,,,
Modification count:,3,,,,,,,,,,,,,,
Added count:,1,,,,,,,,,,,,,,
Deleted count:,0,,,,,,,,,,,,,,
Moved count:,1,,,,,,,,,,,,,,
Resized count:,1,,,,,,,,,,,,,,
Space ID: 1,Size: ,6000,12000,3000,Location: ,0,0,0,,,,,,,
Space ID: 2,Size: ,6000,12000,3000,Location: ,6000,0,0,,,,,,,
Space ID: 3,Size: ,24000,12000,3000,Location: ,0,12000,0,,,,,,,
Space ID: 4,Size: ,6000,6000,3000,Location: ,6000,0,3000,,,,,,,
Space ID: 5,Size: ,6000,6000,3000,Location: ,6000,6000,3000,,,,,,,
Space ID: 6,Size: ,6000,12000,3000,Location: ,0,0,3000,,,,,,,
Space ID: 7,Size: ,12000,12000,3000,Location: ,12000,0,0,,,,,,,
Space ID: 8,Size: ,12000,12000,3000,Location: ,12000,0,3000,,,,,,,
Space ID: 9,Size: ,12000,12000,3000,Location: ,12000,12000,3000,,,,,,,
Space ID: 10,Size: ,12000,12000,3000,Location: ,12000,-12000,0,,,,,,,
Space ID: 11,Size: ,12000,12000,3000,Location: ,12000,0,6000,,,,,,,
initial zones,12,,,,,,,,,,,,,,
initial designs,6,,,,,,,,,,,,,,
Zone count user:,13,,,,,,,,,,,,,,
Zoned design count user:,7,,,,,,,,,,,,,,
Zone 1 cuboids:,4,9,10,,,,,,,,,,,,
Zone 2 cuboids:,5,6,7,8,9,10,17,18,19,,,,,,
Zone 3 cuboids:,1,2,5,6,7,8,9,10,11,12,15,16,,,
Zone 4 cuboids:,9,10,11,12,13,14,,,,,,,,,
Zone 5 cuboids:,3,11,12,,,,,,,,,,,,
Zone 6 cuboids:,1,2,11,12,15,16,,,,,,,,,
Zone 7 cuboids:,13,14,,,,,,,,,,,,,
Zone 8 cuboids:,4,,,,,,,,,,,,,,
Zone 9 cuboids:,17,18,19,,,,,,,,,,,,
Zone 10 cuboids:,1,2,15,16,,,,,,,,,,,
Zone 11 cuboids:,3,,,,,,,,,,,,,,
Zone 12 cuboids:,5,6,7,8,,,,,,,,,,,
Zone 13 cuboids:,5,6,7,8,9,10,17,18,19,,,,13=2,,
Zone 14 cuboids:,9,10,11,12,13,14,,,,,,,14=4,,
Zone 15 cuboids:,1,2,5,6,7,8,9,10,11,12,15,16,15=3,,
Zone 16 cuboids:,4,,,,,,,,,,,,16=8,,
Zone 17 cuboids:,3,,,,,,,,,,,,17=11,,
Zone 18 cuboids:,13,14,,,,,,,,,,,18=7,,
Zone 19 cuboids:,17,18,19,,,,,,,,,,19=9,,
Zone 20 cuboids:,1,2,5,6,7,8,15,16,,,,,,,
Zone 21 cuboids:,11,12,13,14,,,,,,,,,,,
Zone 22 cuboids:,3,11,12,,,,,,,,,,22=5,,
Zone 23 cuboids:,1,2,11,12,15,16,,,,,,,23=6,,
Zone 24 cuboids:,1,2,15,16,,,,,,,,,24=10,,
Zone 25 cuboids:,4,9,10,,,,,,,,,,25=1,,
Design 3210996800 zones:,3,7,9,8,11, ,,,,,,,,,
Design 3214411708 zones:,1,5,12,7,9,10, ,,,,,,,,
Design 3211271740 zones:,1,6,12,7,9,11, ,,,,,,,,
Design 3216311635 zones:,2,5,7,8,10, ,,,,,,,,,
Design 3216270432 zones:,2,6,7,8,11, ,,,,,,,,,
Design 0 zones:,4,12,9,8,11,10, ,,,,,,,,
Design 14 zones:,14,17,16,20,19, ,,,,,,,,,
Design 15 zones:,15,18,16,19,17, ,,3,7,8,9,11,,Design 1,2
Design 20 zones:,13,16,21,17,24, ,,,,,,,,,
Design 21 zones:,13,16,22,24,18, ,,2,8,5,10,7,,Design 4,4
Design 22 zones:,13,16,23,17,18, ,,2,8,6,11,7,,Design 5,5
Design 24 zones:,25,19,20,21,17, ,,,,,,,,,
Design 25 zones:,25,20,19,22,18, ,,,,,,,,,
1. How much did you enjoy performing this assignment?,5,,,,,,,,,,,,,,
Step 3: This time pick the one of which you think its structural design has the highest stiffness. Explain your reasoning.,,3,,,,,,,,,,,,,
Step 6: Pick one zoned design you would like to continue with and explain why.,,6,,,,,,,,,,,,,
Step 7: This time pick the one of which you think its structural design has the highest stiffness. Explain your reasoning.,,7,,,,,,,,,,,,,
1..,,colors were nice, interface was nice, assignment was a nice puzzle,,,,,,,,,,,
2. How would you rate the level of ease in performing this assignment?,4,,,,,,,,,,,,,,
2..,,had some practice before with zoned designs in discussions, but the exact definitions still makes it a nice challenge to find all zoned designs,,,,,,,,,,,,
3. How well do you think you performed the assignment?,5,,,,,,,,,,,,,,
3..,,,,,,,,,,,,,,,
4. Do you think it would have gone better with an AI tool that identifies all zoned designs for you?,No idea,,,,,,,,,,,,,,
4..,,,,,,,,,,,,,,,
5. Do you think the AI tool itself can perform zoning better than you?,No idea,,,,,,,,,,,,,,
5..,,depends on the wishes of the user of the building,,,,,,,,,,,,,
6. What criteria did you keep in mind while performing this assignment?,,functional, structural, looks,,,,,,,,,,,
e-mail adress:,,,,,,,,,,,,,,,
