Action,User input,Time
Create Zone,10,08:19:58
Create Zone,7,08:20:04
Create Zone,1,2,08:20:06
Action,User input,Time
Create Zone,10,08:21:14
Create Zone,9,8,08:21:31
Action,User input,Time
Create Zone,1,2,08:34:19
Create Zone,5,08:34:23
Action,User input,Time
Create Zone,10,08:38:50
Action,User input,Time
Create Zone,9,08:39:41
Action,User input,Time
Create Zone,10,08:43:10
Create Zone,4,08:43:12
Create Zone,2,08:43:14
Create Zone,1,08:43:16
Action,User input,Time
Create Zone,4,08:45:02
Create Zone,2,08:45:05
Action,User input,Time
Create Zone,2,08:50:22
Action,User input,Time
Create Zone,1,08:53:01
Action,User input,Time
Create Zone,1,08:53:52
Action,User input,Time
Create Zone,1,08:58:08
Create Zone,9,08:58:12
Action,User input,Time
Create Zone,6,09:07:46
Action,User input,Time
Create Zone,9,09:12:20
Create Zone,1,2,09:12:51
Action,User input,Time
Create Zone,8,9,09:22:31
Create Zone,10,09:22:44
Action,User input,Time
Create Zone,10,09:25:49
Action,User input,Time
Create Zone,10,09:27:06
Create Zone,9,10,09:28:12
Create Zone,1,2,09:28:27
Action,User input,Time
Create Zone,10,09:30:32
Action,User input,Time
Create Zone,10,09:31:58
Create Zone,9,09:32:04
Action,User input,Time
Create Zone,1,09:38:58
Action,User input,Time
Create Zone,10,09:46:29
Action,User input,Time
Create Zone,10,09:52:46
Create Zone,1,2,09:53:10
Create Zone,9,8,09:53:29
Action,User input,Time
Create Zone,10,09:55:03
Create Zone,8,9,09:55:09
Action,User input,Time
Create Zone,10,09:56:38
Create Zone,5,4,6,09:56:46
Create Zone,8,9,09:57:06
Action,User input,Time
Create Zone,10,09:58:26
Action,User input,Time
Create Zone,10,09:59:51
Create Zone,8,9,10:00:02
Action,User input,Time
Create Zone,3,10:00:55
Action,User input,Time
Create Zone,10,10:04:42
Create Zone,8,9,10:04:46
Create Zone,1,2,10:04:58
Create Zone,7,10,10:05:14
Action,User input,Time
Create Zone,8,9,10:06:21
Create Zone,10,10:06:26
Create Zone,8,9,10:06:38
Create Zone,1,2,10:06:41
Action,User input,Time
Create Zone,10,10:09:44
Create Zone,8,9,10:09:50
Create Zone,4,5,6,10:10:05
Create Zone,3,9,10:10:11
Delete Zone,11,10:11:06
Delete Zone,9,10:11:09
Create Zone,10,10:18:36
Create Zone,1,10:19:28
Action,User input,Time
Create Zone,1,11:42:01
Create Zone,12,11:43:08
Create Zone,10,11:43:13
Create Zone,10,11:45:03
Create Zone,7,10,11:45:14
Action,User input,Time
Create Zone,10,12:00:24
Create Zone,10,12:01:48
Action,User input,Time
Create Zone,10,12:04:08
Create Zone,10,12:04:15
Action,User input,Time
Create Zone,10,12:05:33
Create Zone,10,12:05:39
Create Zone,10,12:05:44
Action,User input,Time
Create Zone,10,12:09:01
Create Zone,10,12:09:07
Action,User input,Time
Create Zone,10,12:16:29
Create Zone,8,9,12:16:36
Action,User input,Time
Create Zone,10,12:20:06
Create Zone,3,12:20:13
Create Zone,9,12:20:24
Create Zone,10,12:22:59
Create Zone,10,12:23:07
Action,User input,Time
Create Zone,10,12:27:56
Action,User input,Time
Create Zone,10,12:31:03
Create Zone,10,12:31:12
Action,User input,Time
Create Zone,10,12:48:37
Create Zone,10,12:48:39
Create Zone,9,12:48:56
Action,User input,Time
Create Zone,10,12:50:48
Create Zone,10,12:50:55
Action,User input,Time
Create Zone,10,13:01:14
Create Zone,9,13:01:19
